Feature	Gain	Cover	Frequency	pos
canarito17	0.00297279968990342	0.00619667459005774	0.00965160075329567	80
mrentabilidad_annual_min3	0.00292823186377887	0.00344609967063648	0.00682674199623352	81
ctarjeta_visa_trx_tend3	0.00292687067874267	0.00477011125910103	0.00627746390458255	82
thomebanking_avg6	0.00292556926223529	0.010530538132967	0.00745448838669178	83
mcomisiones_mantenimiento_avg6	0.00285406279012598	0.00917725308336809	0.00729755178907721	84
mcuenta_corriente_tend6	0.00285396914375501	0.00465544195074703	0.00761142498430634	85
mv_mpagominimo_tend3	0.00271351971323439	0.00850987136607934	0.0060420590081607	86
cpayroll_trx_rank	0.00269907312856113	0.00694796878854674	0.0069052102950408	87
mcaja_ahorro_delta2	0.00267227137181921	0.00413105160267213	0.00745448838669178	88
ctrx_quarter_tend6	0.00264948020665377	0.00241064880844021	0.0060420590081607	89
mcuenta_corriente_avg6	0.00262987115988509	0.0078925967299145	0.00729755178907721	90
mtransferencias_recibidas_tend6	0.00262680010712221	0.00696098660413068	0.00761142498430634	91
mv_mpagominimo	0.00259751297206935	0.0109079934042386	0.00447269303201507	92
mrentabilidad_tend6	0.00259264271781468	0.00224821511426189	0.00714061519146265	93
Master_mfinanciacion_limite_min3	0.00258525851570774	0.00833303367634723	0.0073760200878845	94
canarito4	0.00255930937783019	0.0045626497336514	0.00831763967357188	95
canarito12	0.00255108354484197	0.0136391771492477	0.00839610797237916	96
mv_Finiciomora_lag1	0.00254435998159807	0.00752895722284418	0.00306026365348399	97
Visa_status_tend6	0.00253436586568802	0.00132551541470489	0.000470809792843691	98
Master_fechaalta_rank	0.002494010940454	0.0015918461109033	0.00470809792843691	99
mpayroll	0.00247430861084281	0.00988032254106123	0.00188323917137476	100
ccomisiones_otras_tend6	0.00247351323380451	0.0128753050299254	0.00753295668549906	101
canarito14	0.00246769049899218	0.00291381679232738	0.00800376647834275	102
cliente_edad_avg6	0.0024532548434045	0.00403096020175006	0.00541431261770245	103
canarito13	0.00243157176173865	0.0069004755006501	0.00816070307595731	104
mrentabilidad_annual	0.00242950811603331	0.00474030071716655	0.00580665411173886	105
mrentabilidad_annual_rank	0.0024152929242597	0.00472234175822147	0.00651286880100439	106
Visa_mfinanciacion_limite_min3	0.00241035395527312	0.00520137179643451	0.00659133709981168	107
mcaja_ahorro_lag1	0.00240329302322134	0.00323789646217716	0.00659133709981168	108
Visa_mfinanciacion_limite	0.00239610111948944	0.00740166907321491	0.00580665411173886	109
mtransferencias_recibidas_avg6	0.00234965514533657	0.0104346666526173	0.0073760200878845	110
cliente_edad_rank	0.00234434582526918	0.00563998778320207	0.00580665411173886	111
canarito20	0.00234419319566939	0.00358328545215375	0.0077683615819209	112
Master_mfinanciacion_limite	0.00230087700457619	0.0119595618054938	0.00635593220338983	113
mcaja_ahorro_avg6	0.00225811326091016	0.00424217106269007	0.00635593220338983	114
canarito10	0.00224473249096381	0.00185263208722233	0.0073760200878845	115
canarito16	0.00223339987831627	0.00205846191005063	0.00729755178907721	116
canarito18	0.00222862632165028	0.00243054637332098	0.00800376647834275	117
canarito6	0.00221712248349887	0.00960949059625227	0.00792529817953547	118
ctarjeta_visa_trx_rank	0.00220994628969353	0.00271204832335906	0.00470809792843691	119
canarito7	0.00220319325675818	0.00314867966869378	0.00753295668549906	120
mv_status04_rank	0.00217584482748898	0.00133928002835377	0.00588512241054614	121
canarito23	0.00211787575275725	0.00309573373191208	0.0077683615819209	122
