experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 040358	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0393675931267817	0.769734934512035	16	4112	213	0.013590208305534	12486	14154000	71
8101HTa	20220701 040533	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0212410327482788	0.11507408876406	705	7376	896	0.016491210742006	10376	15064000	72
8101HTa	20220701 040713	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0226958953473183	0.217606119617897	617	7380	659	0.0174164400364625	9826	14774000	73
8101HTa	20220701 040820	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0514431449402744	0.641434130858879	178	228	100	0.0163944331838666	9550	14090000	74
8101HTa	20220701 040925	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0656182226994277	0.759748897923392	66	1601	218	0.0144841179188741	10692	14388000	75
8101HTa	20220701 041106	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0562770896937685	0.87873629444713	47	131	671	0.0152908097902143	9018	14022000	76
8101HTa	20220701 041136	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0367164848839084	0.115535099354633	44	7383	185	0.0198574662944371	9852	14508000	77
8101HTa	20220701 041211	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0529435153464702	0.128766022165275	191	7341	184	0.016550332739186	11318	14842000	78
8101HTa	20220701 041251	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0600435714635499	0.1266971813978	301	7981	264	0.0192343365773038	9658	15302000	79
8101HTa	20220701 041326	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0644573392531671	0.103599040607633	229	7743	234	0.0224039396346842	8866	13814000	80
8101HTa	20220701 041358	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0555803391562546	0.150450759687725	318	7871	115	0.0180091296371425	10788	14412000	81
8101HTa	20220701 041433	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0601387541563509	0.109224432151916	372	1875	110	0.0191538485358196	9640	14600000	82
