fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220623 164621	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	551	TRUE	0.0100871405753232	0.398927281713516	5002	440	0.0174063820074754	131474000	HT7310	806	1658475	46
20220623 183743	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1256	TRUE	0.0100308721887043	0.310553095436831	16999	1333	0.0165952768973135	131907000	HT7310	806	1658475	47
20220623 211602	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	2159	TRUE	0.0102123285312501	0.379859703065204	7521	16	0.016786199980368	130768000	HT7310	806	1658475	48
20220623 215133	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	430	TRUE	0.0263523678862097	0.228482729107311	19959	736	0.0324815319479433	114791000	HT7310	806	1658475	49
20220623 215857	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	142	TRUE	0.156623071249527	0.999809260314936	5928	27	0.0185224294500228	123473000	HT7310	806	1658475	50
20220624 001923	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1253	TRUE	0.0100577841488645	0.543130795233477	20000	2039	0.0141939172114796	132102000	HT7310	806	1658475	51
20220624 013617	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	853	TRUE	0.0100159496680459	0.205249868911977	5286	432	0.0136849584737289	131297000	HT7310	806	1658475	52
20220630 011410	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	144	TRUE	0.0906560294866802	0.443187239616699	16831	772	0.0153618288473078	132623000	HT7310	212	1658475	53
20220630 012309	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	381	TRUE	0.0348998130908741	0.270802550264385	15376	713	0.0149233206676986	133292000	HT7310	212	1658475	54
20220630 012549	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	106	TRUE	0.101177456900254	0.246115141797237	13628	643	0.0202204659296811	128667000	HT7310	212	1658475	55
20220630 012949	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	160	TRUE	0.0979809413612902	0.336290309572129	19997	771	0.0171604585976808	132025000	HT7310	212	1658475	56
20220630 015920	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	931	TRUE	0.0119782492500944	0.381358199482627	10952	623	0.0148017824946564	133997000	HT7310	212	1658475	57
20220630 021520	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	521	TRUE	0.0235411703804308	0.376922618081594	12297	568	0.0144270385533066	134086000	HT7310	212	1658475	58
20220630 021930	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	64	TRUE	0.174903755534965	0.99267998106205	19989	815	0.0136570089162919	127289000	HT7310	212	1658475	59
20220630 022200	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	97	TRUE	0.122810292892782	0.276807576013911	19440	345	0.0144216182194609	130275000	HT7310	212	1658475	60
20220630 022509	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	81	TRUE	0.160981382545928	0.4672303915548	19984	2035	0.0154493532691954	128996000	HT7310	212	1658475	61
20220630 031210	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1168	TRUE	0.0105819637968753	0.998017333393823	19970	1660	0.0140777949240401	132090000	HT7310	212	1658475	62
20220630 032644	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	379	TRUE	0.0242848342677646	0.429310492618603	11021	448	0.0147955894742249	134507000	HT7310	212	1658475	63
20220630 033114	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	148	TRUE	0.0892787607639856	0.353652821007926	10433	370	0.0147126144410768	130466000	HT7310	212	1658475	64
20220630 034711	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	288	TRUE	0.0115553115626721	0.464098435419592	2	282	0.0140389573446666	124284000	HT7310	212	1658475	65
20220630 040147	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	530	TRUE	0.0258684714788698	0.45381488409025	15623	474	0.0146202448271576	133667000	HT7310	212	1658475	66
20220630 040443	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	31	TRUE	0.299826583804416	0.862104622067273	19965	67	0.016395566258861	124824000	HT7310	212	1658475	67
20220630 042115	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	393	TRUE	0.0325589350156518	0.998453028547254	19982	332	0.0153538437756676	132734000	HT7310	212	1658475	68
20220630 042700	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	103	TRUE	0.105829925866484	0.996967736369855	19996	455	0.0195266388407969	129477000	HT7310	212	1658475	69
20220630 044218	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	473	TRUE	0.0183123752503954	0.434215480405968	11904	406	0.0150949388423154	133584000	HT7310	212	1658475	70
20220630 044443	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	50	TRUE	0.299873212758057	0.999321217232229	9016	22	0.00883511874050893	112359000	HT7310	212	1658475	71
20220630 044706	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	45	TRUE	0.231818988078818	0.490496876482064	19977	592	0.0153108720359005	126244000	HT7310	212	1658475	72
20220630 045338	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	129	TRUE	0.0980083119184076	0.941885353136146	19998	2047	0.0143451527932852	130912000	HT7310	212	1658475	73
20220630 050815	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	511	TRUE	0.0258173869174034	0.421033773723128	10470	550	0.0144871315627784	134193000	HT7310	212	1658475	74
20220630 051415	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	104	TRUE	0.0906143193065006	0.716525189877918	19980	450	0.0148247146628495	131118000	HT7310	212	1658475	75
20220630 052131	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	278	TRUE	0.0420742447893718	0.370016677127546	16902	452	0.0158027965440794	132834000	HT7310	212	1658475	76
20220630 052508	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	90	TRUE	0.0935207512789061	0.429165041127177	19998	1940	0.0193392540105057	130535000	HT7310	212	1658475	77
20220630 053044	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	106	TRUE	0.11650579486273	0.625387838616714	19986	1312	0.0151392296141035	130935000	HT7310	212	1658475	78
20220630 054804	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	364	TRUE	0.0249395578287967	0.855122477547559	18438	2045	0.014600071494478	132458000	HT7310	212	1658475	79
20220630 060749	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	374	TRUE	0.0240019628951435	0.966279576339267	10989	435	0.0144289005298239	131534000	HT7310	212	1658475	80
20220630 062944	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	964	TRUE	0.0304396105933432	0.958153627484895	19996	16	0.0162092324213651	132127000	HT7310	212	1658475	81
20220630 070727	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	698	TRUE	0.0116005389784107	0.606704745870219	7333	448	0.0136910187749261	132359000	HT7310	212	1658475	82
20220630 073639	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1088	TRUE	0.0122458636100661	0.413668924414192	11158	2048	0.0144882542384139	133634000	HT7310	212	1658475	83
20220630 075245	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	619	TRUE	0.0242186030783354	0.435572122021615	16084	2040	0.0156947029722268	132847000	HT7310	212	1658475	84
20220630 080220	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	342	TRUE	0.0363233411451164	0.435306774622802	19101	1749	0.0152480400962709	133843000	HT7310	212	1658475	85
20220630 081539	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	568	TRUE	0.0365091707015387	0.433464681698869	19650	994	0.0149218004788977	134049000	HT7310	212	1658475	86
20220630 082925	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	450	TRUE	0.0243415717468562	0.431349642051312	11226	1813	0.0145597923185604	133034000	HT7310	212	1658475	87
20220630 084945	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1245	TRUE	0.0106137059860641	0.201205067727385	11342	2047	0.0138201085360857	133169000	HT7310	212	1658475	88
20220630 090443	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	634	TRUE	0.0159679364768793	0.266051659975962	6869	2042	0.0126633926473433	132904000	HT7310	212	1658475	89
