fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220426 121822	0	0	0	1	hist	lossguide	256	0	1	0.0100423925293	0.201976043708933	7	1024	0.0098548850003163	64	12777000	22
20220426 121915	0	0	0	1	hist	lossguide	256	0	1	0.0864086728436502	0.450490207004847	10	2	0.00840560458894084	442	10702000	23
20220426 122255	0	0	0	1	hist	lossguide	256	0	1	0.0100074348449324	0.202383346039097	7	45	0.0181892245319453	461	12970000	24
20220426 122555	0	0	0	1	hist	lossguide	256	0	1	0.0100635982298538	0.982563458766949	7	1023	0.0143624583942853	173	13107000	25
20220426 122943	0	0	0	1	hist	lossguide	256	0	1	0.0100550967304931	0.563049170772999	6	982	0.0151439618668714	376	12970000	26
20220426 123358	0	0	0	1	hist	lossguide	256	0	1	0.0102293879809673	0.998296609687359	8	2	0.016570927171987	2209	13315000	27
20220426 123714	0	0	0	1	hist	lossguide	256	0	1	0.0100521032913863	0.686279211427523	7	747	0.0111512546763633	258	12999000	28
20220426 124146	0	0	0	1	hist	lossguide	256	0	1	0.0104239614617889	0.478263968120617	7	2	0.0149721245080045	2431	13017000	29
20220426 124431	0	0	0	1	hist	lossguide	256	0	1	0.0101229233637597	0.996404655402569	8	796	0.0138749655888047	157	12860000	30
20220426 124735	0	0	0	1	hist	lossguide	256	0	1	0.0101999346145408	0.816992761424371	8	2	0.018397010929713	1423	13012000	31
20220426 124807	0	0	0	1	hist	lossguide	256	0	1	0.117865294980262	0.999270210710291	8	3	0.0140694389551508	197	13072000	32
20220426 125100	0	0	0	1	hist	lossguide	256	0	1	0.0100465633428788	0.999443944014999	8	104	0.0125917674138296	193	12976000	33
20220426 125425	0	0	0	1	hist	lossguide	256	0	1	0.010052583502564	0.344674257096944	7	783	0.0156455307471954	328	13146000	34
20220426 125551	0	0	0	1	hist	lossguide	256	0	1	0.0256723428051913	0.999581050552212	7	772	0.0165188805234671	98	12639000	35
20220426 125846	0	0	0	1	hist	lossguide	256	0	1	0.010029216803341	0.500682400877113	7	1024	0.0135639692547256	193	13184000	36
20220426 130109	0	0	0	1	hist	lossguide	256	0	1	0.0101595588626617	0.471852313745015	7	883	0.00836793753572143	55	12417000	37
20220426 130409	0	0	0	1	hist	lossguide	256	0	1	0.0101264637203066	0.200054112889115	8	640	0.0143739018968654	271	13180000	38
20220426 130442	0	0	0	1	hist	lossguide	256	0	1	0.101346995995379	0.200814538475707	8	2	0.0156894669171431	224	13238000	39
20220426 130727	0	0	0	1	hist	lossguide	256	0	1	0.0125691751322167	0.221326973738987	8	1023	0.0152639533515436	297	13382000	40
20220426 130757	0	0	0	1	hist	lossguide	256	0	1	0.111483441679118	0.237606180091641	8	1021	0.0145073750037587	29	12399000	41
20220426 131110	0	0	0	1	hist	lossguide	256	0	1	0.0103413189633432	0.689711520092432	8	1024	0.0157641186157426	311	12952000	42
20220426 131440	0	0	0	1	hist	lossguide	256	0	1	0.0104668887785265	0.200525968822176	8	1024	0.0210091561521874	435	12668000	43
20220426 131551	0	0	0	1	hist	lossguide	256	0	1	0.0485387213202287	0.202055044424545	9	2	0.0175015817881128	598	13415000	44
20220426 131906	0	0	0	1	hist	lossguide	256	0	1	0.0100753443668646	0.200338554519501	9	854	0.0158504862952453	374	13263000	45
20220426 131927	0	0	0	1	hist	lossguide	256	0	1	0.196463893810904	0.301032253637878	9	3	0.0191204071279455	98	12255000	46
20220426 132026	0	0	0	1	hist	lossguide	256	0	1	0.0481469467073494	0.997377017451573	9	3	0.0164318662140478	402	13194000	47
20220426 132412	0	0	0	1	hist	lossguide	256	0	1	0.0115556873762135	0.200768834184476	9	168	0.0166738082639235	579	13325000	48
20220426 132524	0	0	0	1	hist	lossguide	256	0	1	0.0256327910671951	0.203217520438981	8	3	0.0165977419091645	458	13195000	49
20220426 132603	0	0	0	1	hist	lossguide	256	0	1	0.0707586469190008	0.281286176567246	9	54	0.0174054358068048	50	12556000	50
20220426 133007	0	0	0	1	hist	lossguide	256	0	1	0.0101603835906853	0.203420575007077	10	2	0.0222625760150954	2126	13224000	51
20220426 133342	0	0	0	1	hist	lossguide	256	0	1	0.010306496094988	0.201629907193981	5	1012	0.0144935160328423	260	13212000	52
20220426 133408	0	0	0	1	hist	lossguide	256	0	1	0.155389181102567	0.204022541055472	7	2	0.0151083658763259	162	13419000	53
20220426 133807	0	0	0	1	hist	lossguide	256	0	1	0.0102251371915706	0.939269694597222	5	1020	0.0124844358860981	320	12633000	54
20220426 133831	0	0	0	1	hist	lossguide	256	0	1	0.214607524860611	0.989435759691533	7	2	0.0142411664858901	145	12986000	55
