fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220606 053913	0	0	0	1	auto	depthwise	256	0	1	0.0100368431896845	0.200027811772198	0	2	0.00835041486333348	1662	11750000	111
20220606 061645	0	0	0	1	auto	depthwise	256	0	1	0.0103126748550657	0.595095387287603	9	30	0.0126464532376856	243	13618000	112
20220606 064637	0	0	0	1	auto	depthwise	256	0	1	0.0101213561612425	0.440938029045297	6	7	0.0119290170630854	882	13617000	113
20220606 073010	0	0	0	1	auto	depthwise	256	0	1	0.010189898680848	0.678107398669324	7	24	0.011693009673216	208	13544000	114
20220606 074231	0	0	0	1	auto	depthwise	256	0	1	0.0101841033229936	0.200987748498263	8	4	0.0180906885094104	1067	13312000	115
20220606 080500	0	0	0	1	auto	depthwise	256	0	1	0.0100775230710063	0.203257098401185	8	24	0.0112707613976263	554	13085000	116
20220606 080855	0	0	0	1	auto	depthwise	256	0	1	0.0406206899179943	0.232230397114996	0	8	0.0117262651815192	49	10685000	117
20220606 081155	0	0	0	1	auto	depthwise	256	0	1	0.289001915903138	0.994594584019218	9	4	0.0272184992486479	51	10689000	118
20220606 082026	0	0	0	1	auto	depthwise	256	0	1	0.0106586958989853	0.23253614628668	2	2	0.0137571020647681	1130	13375000	119
20220606 082238	0	0	0	1	auto	depthwise	256	0	1	0.299486206613661	0.982786328065961	0	2	0.00890231230173055	81	11962000	120
