Feature	Gain	Cover	Frequency
mactivos_margen	0.00516631863201881	0.00637160026760052	0.00573764049359428
cprestamos_personales_mean6	0.00508803711121959	0.00267465800963109	0.00179652148527414
Visa_mpagominimo	0.0050203730830747	0.00394055323005157	0.00497411886235277
mv_mconsumospesos	0.00480565364554291	0.00109025944737034	0.00156072804033191
cprestamos_personales	0.00474569221396409	0.00337624030262336	0.00103299985403263
mcaja_ahorro_delta1	0.00467414697361967	0.00642315835612126	0.0049965753809187
mvr_msaldopesos	0.00464528770069543	0.00181929805718983	0.00216705404161193
mv_mconsumototal	0.00449827136498164	0.000772805990894419	0.00133616285467264
cproductos_delta1	0.00432593473443432	0.00494997323685006	0.000920717261202996
Visa_Finiciomora	0.00424035496494078	0.00308039648505536	0.000538956445582241
mcaja_ahorro_dolares_delta1	0.00417455008341893	0.00845613060725224	0.00332356474775716
ctarjeta_visa	0.00397652858117619	0.000321095685153537	0.00013473911139556
mprestamos_personales_mean6	0.00397105583480429	0.0026427903323694	0.0018077497445571
mcuenta_corriente	0.00395692213339386	0.00399404841816242	0.00464849934314683
cpayroll_trx_lag1	0.00393948825036974	0.00238357815860352	0.000785978149807435
mcuentas_saldo_mean6	0.00386490876073162	0.0028768213968477	0.00424428200896015
mv_msaldopesos	0.00382054268771769	0.00231865887915647	0.00278460830217491
mprestamos_personales_delta1	0.00381946609225522	0.0103866197675051	0.0022681083751586
Visa_mpagospesos	0.00381525089640147	0.00221949860159801	0.00295303219141936
mcuenta_corriente_mean6	0.00373546266560524	0.00582050874698679	0.00460358630601498
Visa_Finiciomora_mean6	0.00372636087285602	0.00307736591444828	0.00120142374327708
mextraccion_autoservicio_mean6	0.0036883265585214	0.00128795822306225	0.00238039096798823
ctarjeta_debito_trx	0.00354131405954942	0.00143002346934752	0.00203231493021637
cliente_edad_lag1	0.00351300387731234	0.00580302114366871	0.00783732497950843
mcuenta_corriente_lag1	0.00346644966950783	0.00209016082179208	0.00354812993341642
mrentabilidad_annual	0.00346165172134473	0.00244444971691027	0.00454744500960016
mcomisiones_mean6	0.00343848326493201	0.00298039394667437	0.00543447749295427
mrentabilidad_annual_delta1	0.00337514539142188	0.00610563587383148	0.00653484690268468
mv_cconsumos_mean6	0.00326495725664855	0.00406164785051156	0.00692783597758839
ccomisiones_mantenimiento_mean6	0.00321756626186463	0.00560099289021187	0.00303163000640011
mv_Finiciomora	0.00315339277579311	0.00332577814707068	0.000572641223431132
ctrx_quarter_delta1	0.00310399186845892	0.00498774959672516	0.00490674930665499
Master_status_mean6	0.00310362809186854	0.000401608142147426	0.000370532556337791
Visa_Finiciomora_lag1	0.00305726700137656	0.00106434194115706	0.000247021704225194
mcuenta_corriente_delta1	0.00299712013113676	0.00371495015361762	0.0032786517106253
mrentabilidad	0.00296914636616374	0.00312802648502205	0.00452498849103424
mcuentas_saldo_delta1	0.00279968214434353	0.00681741948911911	0.00483937975095721
ctarjeta_visa_mean6	0.00271270115045074	0.00025366111234398	0.000157195629961487
ctrx_quarter_normalizado_delta1	0.00271021572458344	0.00333610676135568	0.00409831463828163
mv_Fvencimiento_mean6	0.00269736657322881	0.00295036352320862	0.00763521631241509
cliente_edad	0.0026779639166762	0.00452146745840585	0.00546816227080316
cliente_edad_mean6	0.00267554654720227	0.00459684565317886	0.00560290138219872
Visa_msaldopesos	0.00267250210127075	0.00250479897685266	0.00316636911779567
mcomisiones	0.00266513310592248	0.00245954229773569	0.00357058645198235
mtransferencias_recibidas	0.00264208796406573	0.00452421280742011	0.00331233648847419
mcuentas_saldo_lag1	0.00262771151420622	0.00453441303551499	0.00448007545390238
mv_status05_mean6	0.00259375227128668	0.000482250535448785	0.000898260742637069
mrentabilidad_annual_lag1	0.00255542688947751	0.00253196596883526	0.00553553182650094
mtransferencias_recibidas_mean6	0.00254855602797681	0.00268404059641433	0.00408708637899866
Visa_mconsumospesos	0.00251939212190083	0.00178448980731086	0.00328987996990827
