fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220605 222813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	442837	0.269127842166878	0.99766800771043	5821	1020	0.0156231659680109	12896000	61
20220605 222827	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	442837	0.104151634082567	0.269497535441036	3062	16	0.0153473189371756	12699000	62
20220605 222845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	442837	0.0701801182077898	0.401088711877601	6174	25	0.015168444958757	12955000	63
20220605 222852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	442837	0.251355651877844	0.971386846892649	7997	814	0.012218182818299	12793000	64
20220605 222900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	442837	0.247857377182749	0.887703950153114	7999	1023	0.0177491351852956	12681000	65
20220605 222910	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8	TRUE	442837	0.260764732942381	0.697022637960664	1037	935	0.0127678344511999	11845000	66
20220605 222928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	442837	0.0685077588925378	0.200005297774711	3618	1013	0.0139873381550764	13044000	67
20220605 222938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	442837	0.111250852807661	0.731387442312937	7982	1021	0.0150920269019226	12593000	68
20220605 223048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	376	TRUE	442837	0.0103593588739892	0.234976045487795	3901	190	0.013105501531089	13237000	69
20220605 223105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	442837	0.0844324597935579	0.227643832481723	7978	1024	0.0113449210413928	12810000	70
20220605 223214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	442837	0.0103746188180805	0.441353841732288	420	17	0.0140963935087089	13332000	71
20220605 223224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	442837	0.21486352013334	0.22632184716977	7993	785	0.0149552419835521	12586000	72
20220605 223235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	442837	0.189346630251335	0.44227591849817	7999	1007	0.0142213688175546	13036000	73
20220605 223243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	442837	0.299858688808049	0.852328899396398	6124	1023	0.0130524339407549	12403000	74
20220605 223251	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	442837	0.214610396128689	0.999998516170262	5700	17	0.01618916774372	12859000	75
20220605 223259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	442837	0.192618390556821	0.649215465771512	6711	578	0.0157069517058478	13102000	76
20220605 223421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	444	TRUE	442837	0.0111729161075301	0.461351710660413	3386	16	0.0134054472265192	13739000	77
20220605 223514	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	274	TRUE	442837	0.0185708313003646	0.473872946361872	3400	16	0.0134382494691096	13464000	78
20220605 223525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	442837	0.277733228485338	0.999588690372554	7598	66	0.01475819159359	12630000	79
20220605 223546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	442837	0.0651954734957092	0.300190997797662	2756	18	0.0167420413479935	12833000	80
20220605 223610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	442837	0.0744142515281275	0.496972309043054	3712	388	0.0150356898558331	13314000	81
20220605 223631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	442837	0.0670722410331194	0.572246274309822	4011	930	0.0119507653765263	13107000	82
20220605 223650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	442837	0.0685764422356022	0.201229402340086	3258	156	0.0115272865349034	12658000	83
20220605 223658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	12	TRUE	442837	0.238988597719947	0.865936475753227	5318	500	0.0150923618935652	12948000	84
20220605 223707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	21	TRUE	442837	0.198870270432522	0.999745406751658	3888	710	0.0199506020492736	12307000	85
20220605 223818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	545	TRUE	442837	0.010067054606519	0.999786335515474	4338	713	0.0174157270753102	13137000	86
20220605 223842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	442837	0.0640138505093844	0.99474265621383	3945	25	0.0193345727174747	13099000	87
20220605 223858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	442837	0.0551720153968446	0.999510927193889	6439	1006	0.0128712034820097	13055000	88
20220605 223955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	466	TRUE	442837	0.010118706054585	0.998691586041392	7528	36	0.0149569125044517	12918000	89
20220605 224007	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	442837	0.0725091652630529	0.999948479884443	7781	404	0.0168898972416636	12907000	90
20220605 224101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	392	TRUE	442837	0.0100898144695583	0.997432085160802	7280	558	0.0198713453830417	12428000	91
20220605 224201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	390	TRUE	442837	0.0100492313025286	0.9994414134366	4691	48	0.0115931995459317	12559000	92
20220605 224209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	442837	0.241940869060284	0.685992190767033	8000	781	0.0150781350315965	13156000	93
20220605 224221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	442837	0.0711784132080652	0.855427454169969	3989	17	0.0174047731981724	13070000	94
20220605 224235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	442837	0.0716639408266765	0.674003030056856	3798	21	0.0197993465455475	13183000	95
20220605 224253	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	442837	0.0718073034622161	0.609155620428007	3738	1023	0.0209550896778061	12670000	96
20220605 224421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	442837	0.0100510365323316	0.318765466884987	3105	969	0.00849365658561851	11944000	97
20220605 224433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	442837	0.221956224807167	0.553092579049373	7997	269	0.0154593726055145	12846000	98
20220605 224512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	442837	0.0646336276268579	0.998883263141072	5	719	0.0212216214343825	1047000	99
