fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_depth	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220608 032339	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	713	TRUE	0.0430878127077774	0.596085083888237	4987	678	0.0179314758411451	1	0.172172239847054	0.17237854486402	0.025497558276603	13107000	43
20220608 032429	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	1451	TRUE	0.0314082189795804	0.760677797923102	4786	673	0.0167188248886828	1	0.0973027265786229	0.175913999494791	0.442361514355103	13449000	44
20220608 032441	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	234	TRUE	0.110932985627836	0.757773969285737	4309	463	0.0127663520200535	1	0.127170756567711	0.00825006027649745	0.47102366675396	13087000	45
20220608 032457	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	342	TRUE	0.0759489283116607	0.718080798264389	5424	470	0.0124122211396382	1	0.111390577798886	0.0606135558269146	0.00137292495352322	12775000	46
20220608 032537	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	1099	TRUE	0.02793909622062	0.741004432918671	4337	674	0.0169844934067542	1	0.0565998828023473	0.0202188398494342	0.456972901556376	13374000	47
20220608 032644	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	1504	TRUE	0.0127519618991575	0.799222308796534	4303	681	0.0178578037705882	2	0.104643828585587	0.197689590710541	0.409340182860842	13105000	48
20220608 032714	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	821	TRUE	0.0462896585215272	0.723343149967856	4970	677	0.0165054474753324	1	0.062431239147907	0.068208007869852	0.405365223459479	13519000	49
20220608 032728	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	291	TRUE	0.114038845027076	0.761161569813348	4986	663	0.0169164056085899	1	0.00797656245698317	0.186566196696307	0.293815277260752	13565000	50
20220608 032742	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	275	TRUE	0.11214785223812	0.755851347376463	5337	673	0.0164525863530699	1	0.0531322120220063	0.18807762668098	0.298716786100238	13530000	51
20220608 032752	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	125	TRUE	0.111157831565292	0.78579829943341	5115	664	0.0165052615380283	2	0.0164262524420208	0.188684206478729	0.410124347008071	13467000	52
20220608 032821	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	775	TRUE	0.0546497730140492	0.681350640452975	4832	685	0.0159580892335789	1	0.000372887209957616	0.111616598779707	0.389432112391681	13369000	53
20220608 032835	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	288	TRUE	0.110158215079751	0.792116818215375	5133	582	0.0168243019159213	1	0.0344422151535244	0.198056280965667	0.141839012895828	13605000	54
20220608 032846	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	228	TRUE	0.191809206417421	0.699976509091012	4819	579	0.0166474696991617	1	0.0228869990051215	0.00553744752140344	0.282364165433576	13469000	55
20220608 032903	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	393	TRUE	0.0898865497214028	0.866791741333251	5088	627	0.0172051529932432	1	0.0353370336708305	0.191268393566304	0.294131641231942	13380000	56
20220608 032914	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	206	TRUE	0.159201503044977	0.695317275432475	4950	571	0.0163946151335239	1	0.0250549319765984	0.196690458530914	0.0547683537149332	13372000	57
20220608 032925	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	197	TRUE	0.123104797703958	0.746873740926932	5126	672	0.0165186817482636	1	0.0218111491430822	0.00257620323402031	0.150393606416318	13631000	58
20220608 032937	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	233	TRUE	0.140162827850132	0.742957023229613	4993	671	0.0163746159204889	1	0.0560736973771012	0.00415394414966063	0.233911493459017	13505000	59
20220608 032948	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	182	TRUE	0.0842961036098376	0.740362061223962	5187	654	0.0168281322653809	1	0.000255481754505072	0.0181284217377703	0.18536454996395	12996000	60
20220608 033001	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	273	TRUE	0.126774713020869	0.773093287961785	5087	706	0.0162723465767793	1	0.0299392539222599	0.0678172807467105	0.0437070572825808	13619000	61
20220608 033013	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	34	TRUE	0.130364553474381	0.607824826872806	4721	527	0.0135148800145022	0	0.0254375816169357	0.0138866899981821	0.0976731887278111	13119000	62
20220608 033021	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	84	TRUE	0.203120056821925	0.923789396726136	5181	551	0.0158039954454534	2	0.0159335618391785	0.000801627174631588	0.118106080732643	13542000	63
20220608 033031	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	162	TRUE	0.202634557402074	0.682107741975444	5214	676	0.0166187696302744	1	0.0164757213836263	0.0114659337607427	0.131689260087607	13338000	64
20220608 033043	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	235	TRUE	0.129810232057647	0.887080883189981	5159	584	0.0163793813839959	1	0.0251677513684334	0.149990744250833	0.140004727653409	13486000	65
20220608 033102	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	200	TRUE	0.122761888566999	0.737547103925737	4922	709	0.0166856809009005	2	0.0243783519821189	0.00253966457301578	0.172225394921561	13375000	66
20220608 033112	binary	custom	TRUE	TRUE	FALSE	-100	442837	31	167	TRUE	0.192779386636972	0.777858838973276	5185	426	0.015348216586608	1	0.0204087567092911	0.000773396544942676	0.131923579342519	13480000	67
